Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Type,Outlet_Establishment_Year,Item_Sales
CR01,1000,Low,Cracker,195,V001,Medium,Micro Store - Main,2010,390
CR05,1000,Regular,Cracker,180,V001,Medium,Micro Store - Main,2010,1260
CR09,700,Regular,Cracker,140,V001,Medium,Micro Store - Main,2010,560
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,636
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,42
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,120
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,375
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,1375
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,1450
NS03,500,Low,Nuts,80,V001,Medium,Micro Store - Main,2010,560
NS07,500,Low,Nuts,200,L002,Small,Micro Store B,2014,2800
NS08,500,Low,Nuts,135,S003,Small,Micro Store C,2016,810
NS12,500,Low,Nuts,75,L002,Small,Micro Store B,2014,675
NS01,500,Low,Nuts,95,L002,Small,Micro Store B,2014,665
NS05,500,Low,Nuts,90,V001,Medium,Micro Store - Main,2010,360
CR05,1000,Regular,Cracker,180,V001,Medium,Micro Store - Main,2010,1080
NS03,500,Low,Nuts,80,L002,Small,Micro Store B,2014,720
BR04,380,Low,Bread,125,S003,Small,Micro Store C,2016,1500
NS02,500,Low,Nuts,85,S003,Small,Micro Store C,2016,340
NS07,500,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,1400
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,1000
NS07,500,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,600
CR09,700,Regular,Cracker,140,S003,Small,Micro Store C,2016,560
NS09,500,Low,Nuts,85,V001,Medium,Micro Store - Main,2010,170
CR01,1000,Regular,Cracker,195,S003,Small,Micro Store C,2016,585
CR11,25,Regular,Cracker,10,V001,Medium,Micro Store - Main,2010,20
CR15,25,Regular,Cracker,7,L002,Small,Micro Store B,2014,70
CR04,85,Regular,Cracker,20,S003,Small,Micro Store C,2016,100
NS08,500,Low,Nuts,135,L002,Small,Micro Store B,2014,270
CR03,150,Regular,Cracker,35,S003,Small,Micro Store C,2016,175
CR12,20,Regular,Cracker,5,V001,Medium,Micro Store - Main,2010,40
CR13,85,Regular,Cracker,13,V001,Medium,Micro Store - Main,2010,234
BI01,2000,Low,Biscuit,310,S003,Small,Micro Store C,2016,930
NS10,500,Low,Nuts,145,V001,Medium,Micro Store - Main,2010,870
BR06,600,Low,Bread,125,S003,Small,Micro Store C,2016,625
CR15,25,Regular,Cracker,7,V001,Medium,Micro Store - Main,2010,238
BR08,500,Low,Bread,125,L002,Small,Micro Store B,2014,875
NS11,500,Low,Nuts,100,V001,Medium,Micro Store - Main,2010,2300
NS12,500,Low,Nuts,75,V001,Medium,Micro Store - Main,2010,375
CR02,500,Regular,Cracker,98,S003,Small,Micro Store C,2016,784
BR02,480,Low,Bread,125,V001,Medium,Micro Store - Main,2010,375
CR06,45,Regular,Cracker,35,S003,Small,Micro Store C,2016,315
CR07,85,Regular,Cracker,20,V001,Medium,Micro Store - Main,2010,100
CR08,1000,Regular,Cracker,150,S003,Small,Micro Store C,2016,300
CR09,700,Regular,Cracker,140,V001,Medium,Micro Store - Main,2010,700
CR10,25,Regular,Cracker,5,L002,Small,Micro Store B,2014,195
CR11,25,Regular,Cracker,10,L002,Small,Micro Store B,2014,90
BR01,400,Low,Bread,125,L002,Small,Micro Store B,2014,500
BI02,1660,Low,Biscuit,304,L002,Small,Micro Store B,2014,608
CH08,500,High,Chicharon,100,L002,Small,Micro Store B,2014,800
NS01,500,Low,Nuts,95,S003,Small,Micro Store C,2016,855
NS02,500,Low,Nuts,85,V001,Medium,Micro Store - Main,2010,1020
BR02,480,Low,Bread,125,S003,Small,Micro Store C,2016,1375
BR07,600,Low,Bread,125,V001,Medium,Micro Store - Main,2010,500
CR14,100,Regular,Cracker,53,L002,Small,Micro Store B,2014,318
BR03,450,Low,Bread,125,L002,Small,Micro Store B,2014,1000
NS03,500,Low,Nuts,80,L002,Small,Micro Store B,2014,400
CH04,150,High,Chicharon,100,S003,Small,Micro Store C,2016,800
CH06,150,High,Chicharon,90,V001,Medium,Micro Store - Main,2010,360
NS05,500,Low,Nuts,90,S003,Small,Micro Store C,2016,180
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,875
NS07,500,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,1000
NS12,500,Low,Nuts,75,S003,Small,Micro Store C,2016,525
CH03,50,High,Chicharon,20,V001,Medium,Micro Store - Main,2010,40
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,375
NS13,150,Low,Nuts,75,S003,Small,Micro Store C,2016,600
CH05,200,High,Chicharon,185,V001,Medium,Micro Store - Main,2010,740
NS04,500,Low,Nuts,85,S003,Small,Micro Store C,2016,935
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,135
BR09,60,Low,Bread,20,L002,Small,Micro Store B,2014,120
NS10,500,Low,Nuts,145,S003,Small,Micro Store C,2016,1015
NS08,500,Low,Nuts,135,V001,Medium,Micro Store - Main,2010,810
CR09,700,Regular,Cracker,140,V001,Medium,Micro Store - Main,2010,420
NS09,500,Low,Nuts,85,S003,Small,Micro Store C,2016,595
CR15,25,Regular,Cracker,7,V001,Medium,Micro Store - Main,2010,84
CH02,100,High,Chicharon,35,S003,Small,Micro Store C,2016,315
NS06,1000,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,800
CR10,25,Regular,Cracker,5,L002,Small,Micro Store B,2014,10
CH04,150,High,Chicharon,100,V001,Medium,Micro Store - Main,2010,700
NS11,500,Low,Nuts,100,V001,Medium,Micro Store - Main,2010,400
CR11,25,Regular,Cracker,10,S003,Small,Micro Store C,2016,60
CR06,45,Regular,Cracker,35,S003,Small,Micro Store C,2016,280
CR07,85,Regular,Cracker,20,V001,Medium,Micro Store - Main,2010,80
CH06,150,High,Chicharon,90,V001,Medium,Micro Store - Main,2010,990
CR14,100,Regular,Cracker,53,S003,Small,Micro Store C,2016,689
CH08,500,High,Chicharon,100,V001,Medium,Micro Store - Main,2010,400
NS06,1000,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,1400
CR12,20,Regular,Cracker,5,L002,Small,Micro Store B,2014,25
CR13,85,Regular,Cracker,13,S003,Small,Micro Store C,2016,104
NS11,500,Low,Nuts,100,V001,Medium,Micro Store - Main,2010,600
CH01,1000,High,Chicharon,190,V001,Medium,Micro Store - Main,2010,2280
CH02,100,High,Chicharon,35,S003,Small,Micro Store C,2016,350
NS09,500,Low,Nuts,85,V001,Medium,Micro Store - Main,2010,595
CH08,500,High,Chicharon,100,S003,Small,Micro Store C,2016,800
CR15,25,Regular,Cracker,7,V001,Medium,Micro Store - Main,2010,49
CR14,100,Regular,Cracker,53,L002,Small,Micro Store B,2014,212
CH01,1000,High,Chicharon,190,V001,Medium,Micro Store - Main,2010,1710
